VARIABLE,TYPE,FILL,USE
EMAIL_SHA1,str,NONE,2
WEBSITE,str,NONE,1
MEMBER_ACCOUNT_ID,float,NONE,2
SUBSCR_DATE,str,NONE,2
SUBSCR_BOOKING_ID,float,NONE,2
RENEWAL_INFO,str,NONE,2
LABEL,str,NONE,2
SUBSCR_FEE_CURRENCY,str,NONE,2
SUBSCR_FEE_AMOUNT,float,NONE,2
SUBSCR_VISIT_ID,float,NONE,2
SUBSCR_SEARCH_ID,float,NONE,2
LABEL_INT,float,NONE,2
LABEL_BOOL,float,NONE,2
RENEWED,float,NONE,2
CHURN,float,NONE,2
FAIL,float,NONE,2
SUBSCR_DATE_UNIX,date,NONE,1
NUM_VISIT_ID,float,NONE,1
NUM_V_WEBSITE,float,NONE,2
NUM_V_BROWSER,float,NONE,2
NUM_V_BROWSER_VERSION,float,NONE,1
NUM_V_OS,float,NONE,2
NUM_V_OS_VERSION,float,NONE,1
NUM_V_INTERFACE,float,NONE,2
NUM_V_DEVICE,float,NONE,2
AVG_VISIT_DATE_DIFF,float,NONE,1
STD_VISIT_DATE_DIFF,float,NONE,1
VISIT_DATE,str,NONE,2
V_BROWSER,str,NONE,1
V_BROWSER_VERSION,float,NONE,1
V_OS,str,NONE,1
V_OS_VERSION,float,NONE,1
V_INTERFACE,str,NONE,1
V_DEVICE,str,NONE,1
VISIT_DATE_DIFF,float,NONE,1
NUM_SEARCH_ID,float,NONE,1
NUM_DEP_COUNTRY,float,NONE,1
NUM_ARR_COUNTRY,float,NONE,1
NUM_DEP_CONTINENT,float,NONE,2
NUM_ARR_CONTINENT,float,NONE,2
NUM_S_MKT_PORTAL,float,NONE,1
NUM_S_MKT_CHANNEL,float,NONE,1
MIN_S_SEARCH_DISTANCE,float,NONE,1
MIN_ADV_IN_PUR,float,NONE,1
MIN_TRIP_DURATION,float,NONE,1
MAX_S_SEARCH_DISTANCE,float,NONE,1
MAX_ADV_IN_PUR,float,NONE,1
MAX_TRIP_DURATION,float,NONE,1
MAX_S_NUM_ADULTS,float,NONE,1
MAX_S_NUM_CHILDREN,float,NONE,1
MAX_S_NUM_INFANT,float,NONE,2
MAX_S_DEP_DATE_UNIX,date,NONE,1
MAX_S_ARR_DATE_UNIX,date,NONE,1
AVG_S_DEP_DATE_UNIX,date,NONE,1
AVG_S_ARR_DATE_UNIX,date,NONE,1
TOP_DEP_COUNTRY,str,NONE,1
TOP_ARR_COUNTRY,str,NONE,1
TOP_S_MKT_PORTAL,str,NONE,1
TOP_S_MKT_CHANNEL,str,NONE,1
TOP_S_TRIP_TYPE,str,NONE,1
STDV_ADV_IN_PUR,float,NONE,1
AVG_S_SEARCH_DISTANCE,float,NONE,1
STDV_S_SEARCH_DISTANCE,float,NONE,1
AVG_S_SEARCH_DAY_ADVANCE,float,NONE,1
STDV_S_SEARCH_DAY_ADVANCE,float,NONE,1
AVG_SEARCH_DATE_DIFF,float,NONE,1
STDV_SEARCH_DATE_DIFF,float,NONE,1
SEARCH_DATE,str,NONE,2
S_MKT_PORTAL,str,NONE,1
S_MKT_CHANNEL,str,NONE,1
S_SEARCH_DISTANCE,float,NONE,1
S_SEARCH_DAY_ADVANCE,float,NONE,1
S_TRIP_TYPE,str,NONE,1
ADV_IN_PUR,float,NONE,1
DEP_COUNTRY,str,NONE,1
DEP_CONTINENT,str,NONE,1
ARR_COUNTRY,str,NONE,1
ARR_CONTINENT,str,NONE,1
TRIP_DURATION,float,NONE,1
S_NUM_ADULTS,float,NONE,1
S_NUM_CHILDREN,float,NONE,1
S_NUM_INFANT,float,NONE,2
SEARCH_DATE_DIFF,float,NONE,1
MIN_SS_SCORE,float,NONE,1
MIN_EA_SCORE,float,NONE,1
MIN_DESC_SERVICE_FEE_RANGE,float,NONE,1
MIN_FLIGHTGROSSSALES,float,NONE,1
MIN_GROSSSALES,float,NONE,1
MIN_FLIGHTPROVIDERPRICE,float,NONE,1
MIN_REVENUEMARGIN,float,NONE,1
MIN_SERVICEFEES,float,NONE,1
MIN_PRIORITYBOARDINGSREVENUE,float,NONE,1
MIN_INSURANCESGROSSSALES,float,NONE,1
MIN_SERVICEOPTIONS,float,NONE,1
MIN_SERVICEOPTIONSGROSSSALES,float,NONE,1
MIN_SERVICEOPTIONSREVENUE,float,NONE,1
MIN_BAGSGROSSSALES,float,NONE,1
MIN_SEATSINCLUDED,float,NONE,2
MIN_SEATSSELECTED,float,NONE,1
MIN_SEATSGROSSSALES,float,NONE,1
MIN_SEATSREVENUE,float,NONE,1
MIN_SEATSSELECTEDCHARGEABLE,float,NONE,1
MIN_SEATSSELECTEDCHARGEABLEGROSSSA,float,NONE,1
MIN_SEATSSELECTEDCHARGEABLEREVENUE,float,NONE,1
MIN_F_PRIME_DISCOUNT,float,NONE,1
MIN_ME_PROBABILITY_FRAUD,float,NONE,2
MAX_DESC_SERVICE_FEE_RANGE,float,NONE,1
MAX_FLIGHTGROSSSALES,float,NONE,1
MAX_GROSSSALES,float,NONE,1
MAX_FLIGHTPROVIDERPRICE,float,NONE,1
MAX_REVENUEMARGIN,float,NONE,1
MAX_SERVICEFEES,float,NONE,1
MAX_PRIORITYBOARDINGSREVENUE,float,NONE,1
MAX_INSURANCESGROSSSALES,float,NONE,1
MAX_SERVICEOPTIONS,float,NONE,1
MAX_SERVICEOPTIONSGROSSSALES,float,NONE,1
MAX_SERVICEOPTIONSREVENUE,float,NONE,1
MAX_BAGSGROSSSALES,float,NONE,1
MAX_SEATSINCLUDED,float,NONE,2
MAX_SEATSSELECTED,float,NONE,1
MAX_SEATSGROSSSALES,float,NONE,1
MAX_SEATSREVENUE,float,NONE,1
MAX_SEATSSELECTEDCHARGEABLE,float,NONE,1
MAX_SEATSSELECTEDCHARGEABLEGROSSSA,float,NONE,1
MAX_SEATSSELECTEDCHARGEABLEREVENUE,float,NONE,1
MAX_F_PRIME_DISCOUNT,float,NONE,1
MAX_ME_PROBABILITY_FRAUD,float,NONE,2
MAX_SS_SCORE,float,NONE,1
MAX_AFS_SCORE,float,NONE,1
MAX_EA_SCORE,float,NONE,1
NUM_CARD_FAMILY,float,NONE,2
NUM_BOOKING_ID,float,NONE,1
TOP_DESC_MARKETING_PROVIDER,str,NONE,1
TOP_SERVICEOPTIONS,float,NONE,1
TOP_SEATSSELECTED,float,NONE,1
AVG_SS_SCORE,float,NONE,1
STDV_SS_SCORE,float,NONE,1
AVG_AFS_SCORE,float,NONE,1
STDV_AFS_SCORE,float,NONE,1
AVG_EA_SCORE,float,NONE,1
STDV_EA_SCORE,float,NONE,1
AVG_ME_PROBABILITY_FRAUD,float,NONE,2
STDV_ME_PROBABILITY_FRAUD,float,NONE,2
AVG_ESTIMATEDFRIENDLYFRAUD,float,NONE,1
STDV_ESTIMATEDFRIENDLYFRAUD,float,NONE,1
AVG_SERVICEOPTIONSREVENUE,float,NONE,1
STDV_SERVICEOPTIONSREVENUE,float,NONE,1
AVG_SEATSREVENUE,float,NONE,1
STDV_SEATSREVENUE,float,NONE,1
AVG_SERVICEFEES,float,NONE,1
STDV_SERVICEFEES,float,NONE,1
AVG_F_PRIME_DISCOUNT,float,NONE,1
STDV_F_PRIME_DISCOUNT,float,NONE,1
AVG_FLIGHTGROSSSALES,float,NONE,1
STDV_FLIGHTGROSSSALES,float,NONE,1
AVG_GROSSSALES,float,NONE,1
STDV_GROSSSALES,float,NONE,1
AVG_FLIGHTPROVIDERPRICE,float,NONE,1
STDV_FLIGHTPROVIDERPRICE,float,NONE,1
AVG_SEATSSELECTEDCHARGEABLEGROSSSA,float,NONE,1
STDV_SEATSSELECTEDCHARGEABLEGROSSSA,float,NONE,1
AVG_REVENUEMARGIN,float,NONE,1
STDV_REVENUEMARGIN,float,NONE,1
AVG_SEATSSELECTEDCHARGEABLEREVENUE,float,NONE,1
STDV_SEATSSELECTEDCHARGEABLEREVENUE,float,NONE,1
AVG_PRIORITYBOARDINGSREVENUE,float,NONE,1
STDV_PRIORITYBOARDINGSREVENUE,float,NONE,1
AVG_INSURANCESGROSSSALES,float,NONE,1
STDV_INSURANCESGROSSSALES,float,NONE,1
AVG_BOOKING_DATE_DIFF,float,NONE,1
STDV_BOOKING_DATE_DIFF,float,NONE,1
MIN_BOOKING_DATE_DIFF,float,NONE,1
MAX_BOOKING_DATE_DIFF,float,NONE,1
BOOKING_ID,float,NONE,2
BOOKING_DATE,str,NONE,2
IS_INCLUDED_ANCILLARY,float,NONE,1
DESC_MARKETING_PROVIDER,str,NONE,1
DESC_SEARCH_STRATEGY,str,NONE,1
DESC_SERVICE_FEE_RANGE,float,NONE,1
DESC_SERVICE_OPTION_TYPE,str,NONE,1
FLIGHTGROSSSALES,float,NONE,1
ESTIMATEDFRIENDLYFRAUD,float,NONE,1
ID_CURRENCY_COLLECTION,str,NONE,1
PRIORITYBOARDINGSREVENUE,float,NONE,1
INSURANCESGROSSSALES,float,NONE,1
IS_INCLUDED_SERVICE_OPTION,float,NONE,1
SERVICEOPTIONS,float,NONE,1
SERVICEOPTIONSGROSSSALES,float,NONE,1
SERVICEOPTIONSREVENUE,float,NONE,1
BAGSGROSSSALES,float,NONE,1
IS_INCLUDED_SEAT,float,NONE,1
SEATSINCLUDED,float,NONE,2
SEATSSELECTED,float,NONE,1
SEATSGROSSSALES,float,NONE,1
SEATSREVENUE,float,NONE,1
IS_INCLUDED_SEAT_SEL_CHARG,float,NONE,1
SEATSSELECTEDCHARGEABLE,float,NONE,1
SEATSSELECTEDCHARGEABLEGROSSSA,float,NONE,1
SEATSSELECTEDCHARGEABLEREVENUE,float,NONE,1
DESC_MKT_CHANNEL,str,NONE,1
DESC_MKT_PORTAL,str,NONE,1
DESC_ITINERARY_HAUL_TYPE,str,NONE,1
DESC_ONEWAY_AS_RT_TYPE,str,NONE,2
DESC_PRODUCT,str,NONE,2
DESC_PRODUCT_TYPE,str,NONE,1
DEP_IATA,str,NONE,1
DEP_LATITUDE,float,NONE,1
DEP_LONGITUDE,float,NONE,1
ARR_IATA,str,NONE,1
ARR_LATITUDE,float,NONE,1
ARR_LONGITUDE,float,NONE,1
DISTANCE,float,NONE,1
DOMESTIC,float,NONE,1
DESC_INTERFACE,str,NONE,1
ID_PRODUCT_DETAIL,str,NONE,1
FLIGHTPROVIDERPRICE,float,NONE,1
ID_UTM_SOURCE_ORDER,str,NONE,1
ID_UTM_MEDIUM_ORDER,str,NONE,1
COMMISSIONS,float,NONE,1
GROSSSALES,float,NONE,1
SERVICEFEES,float,NONE,1
REVENUEMARGIN,float,NONE,1
MKTCOST,float,NONE,1
MARGINALCOST,float,NONE,1
INSURANCESREVENUE,float,NONE,1
INSURANCES,float,NONE,1
BAGSCHECKEDREVENUE,float,NONE,1
BAGSCHECKEDSELECTED,float,NONE,1
PRIORITYBOARDINGSSELECTED,float,NONE,1
NUM_ADULTS,float,NONE,1
NUM_CHILDREN,float,NONE,1
NUM_INFANT,float,NONE,2
DURATION_DAYS,float,NONE,1
ID_DAYS_ADVANCE_RANGE,float,NONE,1
IS_INCLUDED_INSURANCE,float,NONE,1
ID_BRAND,str,NONE,1
ID_MARKET,str,NONE,1
DEP_DATE_UNIX,date,NONE,1
ARR_DATE_UNIX,date,NONE,1
IS_INCLUDED_SUPPORT_PACK,float,NONE,1
IS_INCLUDED_SMS,float,NONE,2
IS_INCLUDED_CHKIN_ONLINE,float,NONE,2
IS_INCLUDED_CHKIN_ONLINE_PAID,float,NONE,2
IS_INCLUDED_VOUCHER,float,NONE,2
COUNTRY_BILLING,str,NONE,1
F_PRIME_DISCOUNT,float,NONE,1
COLLECTION_TYPE,str,NONE,1
CARD_TYPE,str,NONE,1
CARD_FAMILY,str,NONE,1
DOMESTIC_TRIP,float,NONE,1
FOREIGN_IP,float,NONE,1
FOREIGN_CARD,float,NONE,1
FOREIGN_BILLING,float,NONE,2
FRAUD_RISK_LEVEL_ID,float,NONE,1
ME_PROBABILITY_FRAUD,float,NONE,2
AFS_SCORE,float,NONE,1
EA_SCORE,float,NONE,1
SS_SCORE,float,NONE,1
IP_COUNTRY,str,NONE,1
CARD_COUNTRY,str,NONE,2
DESCRIPTION,str,NONE,1
STORE_ID,str,NONE,1
PSP,str,NONE,1
CC_TYPE,str,NONE,1
CC_BRAND,str,NONE,1
PAYMENT_CARD_TYPE,str,NONE,1
CARD_LEVEL,str,NONE,1
COUNTRY_CODE,str,NONE,1
BOOKING_DATE_DIFF,float,NONE,1
PRIME_FEE,float,NONE,1
GENDER,str,NONE,1
AGE,float,NONE,1
DIFF_SUBSCR_CREATION,float,NONE,1
NUM_ACCOUNTS,float,NONE,2
CHURN_FRAC,float,NONE,2
FAIL_FRAC,float,NONE,2
PRIME_PRICE,float,NONE,1
NOPRIME_PRICE,float,NONE,1
DISCOUNT,float,NONE,1
BREAK_EVEN,float,NONE,1
DISABLE_AUTO_RENEWAL,float,NONE,2
RANK,float,NONE,2
